keyword_ascii,scholar_query_ascii,google_scholar_url_ascii,formal_branch,formal_scope,field,subfield,sub_subfield,node_level,source_tag,source_code,source_title
Differential geometry of symmetric spaces,Differential geometry of symmetric spaces Global differential geometry Differential geometry 53C35 MSC2020,https://scholar.google.com/scholar?q=Differential%20geometry%20of%20symmetric%20spaces%20Global%20differential%20geometry%20Differential%20geometry%2053C35%20MSC2020,Mathematics,core,"Differential geometry {For differential topology, see 57Rxx; for foundational questions of differentiable manifolds, see 58Axx}","Global differential geometry [See also 51H25, 58-XX] {For related bundle theory, see 55Rxx, 57Rxx}","Differential geometry of symmetric spaces [See also 32M15, 57T15]",sub_subfield,MSC2020:53C35,53C35,"Differential geometry of symmetric spaces [See also 32M15, 57T15]"
Calibrations and calibrated geometries,Calibrations and calibrated geometries Global differential geometry Differential geometry 53C38 MSC2020,https://scholar.google.com/scholar?q=Calibrations%20and%20calibrated%20geometries%20Global%20differential%20geometry%20Differential%20geometry%2053C38%20MSC2020,Mathematics,core,"Differential geometry {For differential topology, see 57Rxx; for foundational questions of differentiable manifolds, see 58Axx}","Global differential geometry [See also 51H25, 58-XX] {For related bundle theory, see 55Rxx, 57Rxx}",Calibrations and calibrated geometries,sub_subfield,MSC2020:53C38,53C38,Calibrations and calibrated geometries
Global submanifolds,Global submanifolds Global differential geometry Differential geometry 53C40 MSC2020,https://scholar.google.com/scholar?q=Global%20submanifolds%20Global%20differential%20geometry%20Differential%20geometry%2053C40%20MSC2020,Mathematics,core,"Differential geometry {For differential topology, see 57Rxx; for foundational questions of differentiable manifolds, see 58Axx}","Global differential geometry [See also 51H25, 58-XX] {For related bundle theory, see 55Rxx, 57Rxx}",Global submanifolds [See also 53B25],sub_subfield,MSC2020:53C40,53C40,Global submanifolds [See also 53B25]
"Differential geometry of immersions (minimal, prescribed curvature, tight, etc.)","Differential geometry of immersions (minimal, prescribed curvature, tight, etc.) Global differential geometry Differential geometry 53C42 MSC2020",https://scholar.google.com/scholar?q=Differential%20geometry%20of%20immersions%20(minimal%2C%20prescribed%20curvature%2C%20tight%2C%20etc.)%20Global%20differential%20geometry%20Differential%20geometry%2053C42%20MSC2020,Mathematics,core,"Differential geometry {For differential topology, see 57Rxx; for foundational questions of differentiable manifolds, see 58Axx}","Global differential geometry [See also 51H25, 58-XX] {For related bundle theory, see 55Rxx, 57Rxx}","Differential geometry of immersions (minimal, prescribed curvature, tight, etc.) [See also 49Q05, 49Q10, 53A10, 57R40, 57R42]",sub_subfield,MSC2020:53C42,53C42,"Differential geometry of immersions (minimal, prescribed curvature, tight, etc.) [See also 49Q05, 49Q10, 53A10, 57R40, 57R42]"
Differential geometric aspects of harmonic maps,Differential geometric aspects of harmonic maps Global differential geometry Differential geometry 53C43 MSC2020,https://scholar.google.com/scholar?q=Differential%20geometric%20aspects%20of%20harmonic%20maps%20Global%20differential%20geometry%20Differential%20geometry%2053C43%20MSC2020,Mathematics,core,"Differential geometry {For differential topology, see 57Rxx; for foundational questions of differentiable manifolds, see 58Axx}","Global differential geometry [See also 51H25, 58-XX] {For related bundle theory, see 55Rxx, 57Rxx}",Differential geometric aspects of harmonic maps [See also 58E20],sub_subfield,MSC2020:53C43,53C43,Differential geometric aspects of harmonic maps [See also 58E20]
Global surface theory (convex surfaces a la A. D. Aleksandrov),Global surface theory (convex surfaces a la A. D. Aleksandrov) Global differential geometry Differential geometry 53C45 MSC2020,https://scholar.google.com/scholar?q=Global%20surface%20theory%20(convex%20surfaces%20a%20la%20A.%20D.%20Aleksandrov)%20Global%20differential%20geometry%20Differential%20geometry%2053C45%20MSC2020,Mathematics,core,"Differential geometry {For differential topology, see 57Rxx; for foundational questions of differentiable manifolds, see 58Axx}","Global differential geometry [See also 51H25, 58-XX] {For related bundle theory, see 55Rxx, 57Rxx}",Global surface theory (convex surfaces `a la A. D. Aleksandrov),sub_subfield,MSC2020:53C45,53C45,Global surface theory (convex surfaces `a la A. D. Aleksandrov)
"Global differential geometry of Lorentz manifolds, manifolds with indefinite metrics","Global differential geometry of Lorentz manifolds, manifolds with indefinite metrics Global differential geometry Differential geometry 53C50 MSC2020",https://scholar.google.com/scholar?q=Global%20differential%20geometry%20of%20Lorentz%20manifolds%2C%20manifolds%20with%20indefinite%20metrics%20Global%20differential%20geometry%20Differential%20geometry%2053C50%20MSC2020,Mathematics,core,"Differential geometry {For differential topology, see 57Rxx; for foundational questions of differentiable manifolds, see 58Axx}","Global differential geometry [See also 51H25, 58-XX] {For related bundle theory, see 55Rxx, 57Rxx}","Global differential geometry of Lorentz manifolds, manifolds with indefinite metrics",sub_subfield,MSC2020:53C50,53C50,"Global differential geometry of Lorentz manifolds, manifolds with indefinite metrics"
Global differential geometry of Hermitian and Kahlerian manifolds,Global differential geometry of Hermitian and Kahlerian manifolds Global differential geometry Differential geometry 53C55 MSC2020,https://scholar.google.com/scholar?q=Global%20differential%20geometry%20of%20Hermitian%20and%20Kahlerian%20manifolds%20Global%20differential%20geometry%20Differential%20geometry%2053C55%20MSC2020,Mathematics,core,"Differential geometry {For differential topology, see 57Rxx; for foundational questions of differentiable manifolds, see 58Axx}","Global differential geometry [See also 51H25, 58-XX] {For related bundle theory, see 55Rxx, 57Rxx}",Global differential geometry of Hermitian and K¨ahlerian manifolds [See also 32Qxx],sub_subfield,MSC2020:53C55,53C55,Global differential geometry of Hermitian and K¨ahlerian manifolds [See also 32Qxx]
Other complex differential geometry,Other complex differential geometry Global differential geometry Differential geometry 53C56 MSC2020,https://scholar.google.com/scholar?q=Other%20complex%20differential%20geometry%20Global%20differential%20geometry%20Differential%20geometry%2053C56%20MSC2020,Mathematics,core,"Differential geometry {For differential topology, see 57Rxx; for foundational questions of differentiable manifolds, see 58Axx}","Global differential geometry [See also 51H25, 58-XX] {For related bundle theory, see 55Rxx, 57Rxx}",Other complex differential geometry [See also 32Qxx],sub_subfield,MSC2020:53C56,53C56,Other complex differential geometry [See also 32Qxx]
Global differential geometry of Finsler spaces and generalizations (areal metrics),Global differential geometry of Finsler spaces and generalizations (areal metrics) Global differential geometry Differential geometry 53C60 MSC2020,https://scholar.google.com/scholar?q=Global%20differential%20geometry%20of%20Finsler%20spaces%20and%20generalizations%20(areal%20metrics)%20Global%20differential%20geometry%20Differential%20geometry%2053C60%20MSC2020,Mathematics,core,"Differential geometry {For differential topology, see 57Rxx; for foundational questions of differentiable manifolds, see 58Axx}","Global differential geometry [See also 51H25, 58-XX] {For related bundle theory, see 55Rxx, 57Rxx}",Global differential geometry of Finsler spaces and generalizations (areal metrics) [See also 58B20],sub_subfield,MSC2020:53C60,53C60,Global differential geometry of Finsler spaces and generalizations (areal metrics) [See also 58B20]
"Integral geometry ; differential forms, currents, etc.","Integral geometry ; differential forms, currents, etc. Global differential geometry Differential geometry 53C65 MSC2020",https://scholar.google.com/scholar?q=Integral%20geometry%20%3B%20differential%20forms%2C%20currents%2C%20etc.%20Global%20differential%20geometry%20Differential%20geometry%2053C65%20MSC2020,Mathematics,core,"Differential geometry {For differential topology, see 57Rxx; for foundational questions of differentiable manifolds, see 58Axx}","Global differential geometry [See also 51H25, 58-XX] {For related bundle theory, see 55Rxx, 57Rxx}","Integral geometry [See also 52A22, 60D05]; differential forms, currents, etc. [See mainly 58Axx]",sub_subfield,MSC2020:53C65,53C65,"Integral geometry [See also 52A22, 60D05]; differential forms, currents, etc. [See mainly 58Axx]"
"Direct methods (G-spaces of Busemann, etc.)","Direct methods (G-spaces of Busemann, etc.) Global differential geometry Differential geometry 53C70 MSC2020",https://scholar.google.com/scholar?q=Direct%20methods%20(G-spaces%20of%20Busemann%2C%20etc.)%20Global%20differential%20geometry%20Differential%20geometry%2053C70%20MSC2020,Mathematics,core,"Differential geometry {For differential topology, see 57Rxx; for foundational questions of differentiable manifolds, see 58Axx}","Global differential geometry [See also 51H25, 58-XX] {For related bundle theory, see 55Rxx, 57Rxx}","Direct methods (G-spaces of Busemann, etc.)",sub_subfield,MSC2020:53C70,53C70,"Direct methods (G-spaces of Busemann, etc.)"
"Geometric orders, order geometry","Geometric orders, order geometry Global differential geometry Differential geometry 53C75 MSC2020",https://scholar.google.com/scholar?q=Geometric%20orders%2C%20order%20geometry%20Global%20differential%20geometry%20Differential%20geometry%2053C75%20MSC2020,Mathematics,core,"Differential geometry {For differential topology, see 57Rxx; for foundational questions of differentiable manifolds, see 58Axx}","Global differential geometry [See also 51H25, 58-XX] {For related bundle theory, see 55Rxx, 57Rxx}","Geometric orders, order geometry [See also 51Lxx]",sub_subfield,MSC2020:53C75,53C75,"Geometric orders, order geometry [See also 51Lxx]"
Applications of global differential geometry to the sciences,Applications of global differential geometry to the sciences Global differential geometry Differential geometry 53C80 MSC2020,https://scholar.google.com/scholar?q=Applications%20of%20global%20differential%20geometry%20to%20the%20sciences%20Global%20differential%20geometry%20Differential%20geometry%2053C80%20MSC2020,Mathematics,core,"Differential geometry {For differential topology, see 57Rxx; for foundational questions of differentiable manifolds, see 58Axx}","Global differential geometry [See also 51H25, 58-XX] {For related bundle theory, see 55Rxx, 57Rxx}",Applications of global differential geometry to the sciences,sub_subfield,MSC2020:53C80,53C80,Applications of global differential geometry to the sciences
